,datetime,code,price,quantity,info,value
270,2018-09-07 15:15:00,12Sep201827500CE,165.45,25,End of Day reached,-4136.25
271,2018-09-07 15:15:00,12Sep201827500PE,131.0,25,End of day reached,-3275.0
272,2018-09-10 09:15:00,12Sep201827400CE,147.75,-25,First trade,3693.75
273,2018-09-10 09:15:00,12Sep201827400PE,160.85,-25,First trade,4021.25
274,2018-09-10 12:31:00,12Sep201827400CE,66.6,25,stoploss breached,-1664.9999999999998
275,2018-09-10 12:31:00,12Sep201827400PE,243.0,25,stoploss breached,-6075.0
276,2018-09-11 09:15:00,12Sep201827300CE,109.65,-25,First trade,2741.25
277,2018-09-11 09:15:00,12Sep201827300PE,138.0,-25,First trade,3450.0
278,2018-09-11 14:00:00,12Sep201827300CE,39.35,25,stoploss breached,-983.75
279,2018-09-11 14:00:00,12Sep201827300PE,213.35,25,stoploss breached,-5333.75
280,2018-09-12 09:15:00,12Sep201826900CE,58.5,-25,First trade,1462.5
281,2018-09-12 09:15:00,12Sep201826900PE,55.4,-25,First trade,1385.0
282,2018-09-12 09:16:00,12Sep201826900CE,42.85,25,stoploss breached,-1071.25
283,2018-09-12 09:16:00,12Sep201826900PE,133.95,25,stoploss breached,-3348.7499999999995
284,2018-09-17 09:15:00,19Sep201827100CE,71.75,-25,First trade,1793.75
285,2018-09-17 09:15:00,19Sep201827100PE,245.95,-25,First trade,6148.75
286,2018-09-17 09:45:00,19Sep201827100CE,47.7,25,stoploss breached,-1192.5
287,2018-09-17 09:45:00,19Sep201827100PE,309.5,25,stoploss breached,-7737.5
288,2018-09-18 09:15:00,19Sep201826800CE,149.6,-25,First trade,3740.0
289,2018-09-18 09:15:00,19Sep201826800PE,118.85,-25,First trade,2971.25
290,2018-09-18 14:38:00,19Sep201826800CE,43.7,25,stoploss breached,-1092.5
291,2018-09-18 14:38:00,19Sep201826800PE,242.6,25,stoploss breached,-6065.0
292,2018-09-19 09:15:00,19Sep201826600CE,50.0,-25,First trade,1250.0
293,2018-09-19 09:15:00,19Sep201826600PE,136.95,-25,First trade,3423.7499999999995
294,2018-09-19 09:19:00,19Sep201826600CE,28.2,25,stoploss breached,-705.0
295,2018-09-19 09:19:00,19Sep201826600PE,161.05,25,stoploss breached,-4026.2500000000005
296,2018-09-21 09:15:00,27Sep201826400CE,265.55,-25,First trade,6638.75
297,2018-09-21 09:15:00,27Sep201826400PE,144.3,-25,First trade,3607.5000000000005
298,2018-09-21 12:43:00,27Sep201826400CE,109.45,25,stoploss breached,-2736.25
299,2018-09-21 12:43:00,27Sep201826400PE,301.15,25,stoploss breached,-7528.749999999999
300,2018-09-24 09:15:00,27Sep201825700CE,155.9,-25,First trade,3897.5
301,2018-09-24 09:15:00,27Sep201825700PE,387.35,-25,First trade,9683.75
302,2018-09-24 09:22:00,27Sep201825700CE,147.95,25,stoploss breached,-3698.7499999999995
303,2018-09-24 09:22:00,27Sep201825700PE,467.95,25,stoploss breached,-11698.75
304,2018-09-25 09:15:00,27Sep201825000CE,191.2,-25,First trade,4780.0
305,2018-09-25 09:15:00,27Sep201825000PE,299.0,-25,First trade,7475.0
306,2018-09-25 14:51:00,27Sep201825000CE,343.85,25,stoploss breached,-8596.25
307,2018-09-25 14:51:00,27Sep201825000PE,147.25,25,stoploss breached,-3681.25
308,2018-09-27 09:15:00,27Sep201825500CE,58.0,-25,First trade,1450.0
309,2018-09-27 09:15:00,27Sep201825500PE,207.5,-25,First trade,5187.5
310,2018-09-27 10:26:00,27Sep201825500CE,25.0,25,stoploss breached,-625.0
311,2018-09-27 10:26:00,27Sep201825500PE,215.75,25,stoploss breached,-5393.75
312,2018-09-28 09:15:00,04Oct201825200CE,281.0,-25,First trade,7025.0
313,2018-09-28 09:15:00,04Oct201825200PE,195.5,-25,First trade,4887.5
314,2018-09-28 09:29:00,04Oct201825200CE,208.8,25,stoploss breached,-5220.0
315,2018-09-28 09:29:00,04Oct201825200PE,324.8,25,stoploss breached,-8120.0
316,2018-10-01 09:15:00,04Oct201825000CE,238.0,-25,First trade,5950.0
317,2018-10-01 09:15:00,04Oct201825000PE,317.0,-25,First trade,7925.0
318,2018-10-01 15:15:00,04Oct201825000CE,445.0,25,End of Day reached,-11125.0
319,2018-10-01 15:15:00,04Oct201825000PE,47.3,25,End of day reached,-1182.5
320,2018-10-03 09:15:00,04Oct201825300CE,141.95,-25,First trade,3548.7499999999995
321,2018-10-03 09:15:00,04Oct201825300PE,208.55,-25,First trade,5213.75
322,2018-10-03 14:45:00,04Oct201825300CE,34.6,25,stoploss breached,-865.0
323,2018-10-03 14:45:00,04Oct201825300PE,283.65,25,stoploss breached,-7091.249999999999
324,2018-10-05 09:15:00,11Oct201824800CE,328.55,-25,First trade,8213.75
325,2018-10-05 09:15:00,11Oct201824800PE,370.65,-25,First trade,9266.25
326,2018-10-05 15:15:00,11Oct201824800CE,139.1,25,End of Day reached,-3477.5
327,2018-10-05 15:15:00,11Oct201824800PE,527.0,25,End of day reached,-13175.0
